 aSCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI
118,DC:A6:32:55:FC:3E,2020-07-16 22:24:50.216593,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-44
119,DC:A6:32:55:FC:3E,2020-07-16 22:24:51.089639,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
120,DC:A6:32:55:FC:3E,2020-07-16 22:24:52.006468,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
121,DC:A6:32:55:FC:3E,2020-07-16 22:24:53.107217,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
122,DC:A6:32:55:FC:3E,2020-07-16 22:24:54.012141,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
123,DC:A6:32:55:FC:3E,2020-07-16 22:24:56.017267,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
124,DC:A6:32:55:FC:3E,2020-07-16 22:24:57.040978,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-40
125,DC:A6:32:55:FC:3E,2020-07-16 22:24:58.055952,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-44
126,DC:A6:32:55:FC:3E,2020-07-16 22:25:00.022287,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-42
127,DC:A6:32:55:FC:3E,2020-07-16 22:25:02.027409,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
128,DC:A6:32:55:FC:3E,2020-07-16 22:25:03.018645,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
129,DC:A6:32:55:FC:3E,2020-07-16 22:25:04.213612,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
130,DC:A6:32:55:FC:3E,2020-07-16 22:25:05.190018,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
131,DC:A6:32:55:FC:3E,2020-07-16 22:25:06.241196,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
132,DC:A6:32:55:FC:3E,2020-07-16 22:25:07.015050,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
133,DC:A6:32:55:FC:3E,2020-07-16 22:25:08.082523,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
134,DC:A6:32:55:FC:3E,2020-07-16 22:25:09.003793,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
135,DC:A6:32:55:FC:3E,2020-07-16 22:25:10.102738,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
136,DC:A6:32:55:FC:3E,2020-07-16 22:25:11.181409,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
137,DC:A6:32:55:FC:3E,2020-07-16 22:25:13.186471,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
138,DC:A6:32:55:FC:3E,2020-07-16 22:25:14.022651,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
139,DC:A6:32:55:FC:3E,2020-07-16 22:25:15.268962,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
140,DC:A6:32:55:FC:3E,2020-07-16 22:25:16.071496,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-40
141,DC:A6:32:55:FC:3E,2020-07-16 22:25:17.170269,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
142,DC:A6:32:55:FC:3E,2020-07-16 22:25:18.271451,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
143,DC:A6:32:55:FC:3E,2020-07-16 22:25:19.097204,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
144,DC:A6:32:55:FC:3E,2020-07-16 22:25:20.142932,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
145,DC:A6:32:55:FC:3E,2020-07-16 22:25:21.009106,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
146,DC:A6:32:55:FC:3E,2020-07-16 22:25:22.114179,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
147,DC:A6:32:55:FC:3E,2020-07-16 22:25:23.763633,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
148,DC:A6:32:55:FC:3E,2020-07-16 22:25:24.015954,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-45
149,DC:A6:32:55:FC:3E,2020-07-16 22:25:25.139211,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-43
150,DC:A6:32:55:FC:3E,2020-07-16 22:25:26.244173,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-44
151,DC:A6:32:55:FC:3E,2020-07-16 22:25:28.249278,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
152,DC:A6:32:55:FC:3E,2020-07-16 22:25:29.237410,f452d6ce-c7dc-11ea-a4b0-dca63255fc3b,1,1,1,-48
